100000; 0.98824 V; 0.55034 V; 10.625 °
150000; 0.98041 V; 0.53217 V; 14.832 °
200000; 0.98041 V; 0.51919 V; 20.117 °
250000; 0.97520 V; 0.50102 V; 24.374 °
300000; 0.97781 V; 480.25 mV; 28.346 °
350000; 0.97781 V; 462.08 mV; 31.880 °
400000; 0.97520 V; 441.31 mV; 35.192 °
450000; 0.97781 V; 417.95 mV; 38.210 °
500000; 0.97259 V; 397.18 mV; 40.914 °
550000; 0.97781 V; 381.61 mV; 43.338 °
600000; 0.97259 V; 366.03 mV; 45.445 °
650000; 0.96738 V; 350.45 mV; 47.410 °
700000; 0.97259 V; 331.51 mV; 49.126 °
750000; 0.98041 V; 317.47 mV; 50.797 °
800000; 0.98041 V; 317.47 mV; 50.797 °
850000; 0.97781 V; 292.64 mV; 53.660 °
900000; 0.96998 V; 280.76 mV; 55.051 °
950000; 0.96998 V; 267.80 mV; 56.422 °
1000000; 0.72749 V; 254.84 mV; 57.383 °
1100000; 0.97781 V; 240.80 mV; 59.234 °
1150000; 0.96477 V; 230.00 mV; 60.176 °
1200000; 0.97259 V; 221.37 mV; 60.829 °
1250000; 0.92566 V; 214.89 mV; 61.500 °
1300000; 0.95695 V; 207.33 mV; 62.197 °
1350000; 0.96216 V; 197.61 mV; 62.659 °
1400000; 0.95173 V; 193.29 mV; 63.122 °
1500000; 0.96216 V; 181.41 mV; 63.807 °
1600000; 0.94391 V; 164.13 mV; 64.502 °
1700000; 0.94652 V; 158.74 mV; 64.868 °
1800000; 0.95434 V; 150.10 mV; 65.282 °
1900000; 0.94913 V; 142.54 mV; 65.438 °
2000000; 0.90219 V; 136.06 mV; 65.598 °
2100000; 0.94130 V; 130.66 mV; 65.702 °
2250000; 0.93609 V; 120.94 mV; 65.722 °
2500000; 0.83440 V; 105.82 mV; 65.739 °
2750000; 0.91001 V; 98.265 mV; 65.408 °
3000000; 0.90219 V; 88.546 mV; 64.994 °
3250000; 0.89437 V; 82.674 mV; 64.467 °
3500000; 0.87872 V; 69.912 mV; 64.013 °
3750000; 0.76399 V; 69.357 mV; 63.421 °
4000000; 0.74574 V; 64.364 mV; 62.773 °
4500000; 0.82918 V; 57.150 mV; 61.271 °
5000000; 0.62840 V; 46.053 mV; 59.723 °
6000000; 0.50585 V; 39.950 mV; 56.539 °
7000000; 0.67012 V; 32.182 mV; 53.765 °
8000000; 0.53453 V; 21.639 mV; 51.443 °
9000000; 0.53714 V; 22.749 mV; 49.772 °
10000000; 305.08 mV; 9.4326 mV; 48.131 °
